event_time,event_type,product_id,price,user_id,user_session
2023-02-01 00:17:17 UTC,view,5879279,3.95,566772217,45a5b5db-3813-4e78-bd92-3e789f47b5ff
2023-02-01 00:17:18 UTC,cart,5886755,1.59,262107180,3752b11a-8960-49c6-b089-8a583dc874ef
2023-02-01 00:17:21 UTC,cart,5837103,5.56,602335606,3412e650-1aaf-4db7-baec-39db232948b6
2023-02-01 00:17:21 UTC,view,5752164,3.97,565945720,74dfd4e5-eb91-4443-bbc6-ac8f73d3ad99
2023-02-01 00:17:23 UTC,cart,5837103,5.56,602335606,3412e650-1aaf-4db7-baec-39db232948b6
2023-02-01 00:17:29 UTC,view,5686278,1.57,566772217,45a5b5db-3813-4e78-bd92-3e789f47b5ff
2023-02-01 00:17:29 UTC,view,5809800,1.27,577225753,3379889e-6d85-4322-97bb-96f66ddc678a
2023-02-01 00:17:46 UTC,view,5724609,2.48,585409344,299e0df4-cce9-47db-a9be-46437fda3136
2023-02-01 00:17:47 UTC,cart,5904546,2.48,558432692,0065215b-de9e-485d-82b7-969e62d691c8
2023-02-01 00:17:49 UTC,cart,5826000,6.33,573521387,b0f87809-8036-4ff3-a8fd-6ec5f4adb821
2023-02-01 00:17:50 UTC,remove_from_cart,5904546,2.48,558432692,0065215b-de9e-485d-82b7-969e62d691c8
2023-02-01 00:17:50 UTC,remove_from_cart,5904546,2.48,558432692,0065215b-de9e-485d-82b7-969e62d691c8
2023-02-01 00:18:00 UTC,view,5916357,24.13,554962001,eb8923d0-51bf-4d9a-8477-1435e3bb0d08
2023-02-01 00:18:02 UTC,view,5711069,1.59,566772217,45a5b5db-3813-4e78-bd92-3e789f47b5ff
2023-02-01 00:18:04 UTC,view,3959,16.03,565986744,425556c6-4d5f-4088-88df-401223390929
2023-02-01 00:18:09 UTC,view,5686278,1.57,566772217,45a5b5db-3813-4e78-bd92-3e789f47b5ff
2023-02-01 00:18:15 UTC,view,5875296,7.22,573521387,b0f87809-8036-4ff3-a8fd-6ec5f4adb821
2023-02-01 00:18:29 UTC,cart,5903136,4.75,602335606,3412e650-1aaf-4db7-baec-39db232948b6
2023-02-01 00:18:31 UTC,view,5724305,2.48,585409344,299e0df4-cce9-47db-a9be-46437fda3136
2023-02-01 00:18:32 UTC,view,5820745,2.22,511011002,2d40676a-b9d8-4eb7-b2ca-b88679dcc646
2023-02-01 00:18:32 UTC,view,5823915,1.59,566772217,45a5b5db-3813-4e78-bd92-3e789f47b5ff
2023-02-01 00:18:34 UTC,view,5855125,15.71,565433903,f11e99a5-b0e0-45dc-ba1a-2b83cdfebc20
2023-02-01 00:18:35 UTC,cart,5811704,2.48,558432692,0065215b-de9e-485d-82b7-969e62d691c8
2023-02-01 00:18:37 UTC,view,5686278,1.57,566772217,45a5b5db-3813-4e78-bd92-3e789f47b5ff
2023-02-01 00:18:38 UTC,cart,5903137,4.75,602335606,3412e650-1aaf-4db7-baec-39db232948b6
2023-02-01 00:18:41 UTC,view,5629988,1.19,583299638,9bc63970-82e5-4e36-9278-747f97a0cb3d
2023-02-01 00:18:42 UTC,cart,5875296,7.22,573521387,b0f87809-8036-4ff3-a8fd-6ec5f4adb821
2023-02-01 00:18:45 UTC,cart,5811708,2.48,558432692,0065215b-de9e-485d-82b7-969e62d691c8
2023-02-01 00:18:51 UTC,remove_from_cart,5811708,2.48,558432692,0065215b-de9e-485d-82b7-969e62d691c8
2023-02-01 00:18:51 UTC,remove_from_cart,5811708,2.48,558432692,0065215b-de9e-485d-82b7-969e62d691c8
2023-02-01 00:19:05 UTC,view,5783783,3.81,565986744,709a8031-97db-4757-a7d0-d8f7d8b376db
2023-02-01 00:19:07 UTC,view,5877489,2.38,371700894,6e3128a2-b78e-4316-8cf9-8e819796c13f
2023-02-01 00:19:16 UTC,view,5724641,2.48,585409344,299e0df4-cce9-47db-a9be-46437fda3136
2023-02-01 00:19:19 UTC,view,5815731,10.95,384166345,b917c06c-46e9-45ac-a93e-c9796dca6ff9
2023-02-01 00:19:20 UTC,view,5900869,5.56,384166345,d4a05996-e5ce-46db-a3b7-7edfce185271
2023-02-01 00:19:26 UTC,cart,5854109,1.9,558637512,f16a8f39-671a-4a83-a7fa-fc69148afe6d
2023-02-01 00:19:31 UTC,cart,5811708,2.48,558432692,0065215b-de9e-485d-82b7-969e62d691c8
2023-02-01 00:19:32 UTC,view,5903136,4.75,602335606,3412e650-1aaf-4db7-baec-39db232948b6
2023-02-01 00:19:36 UTC,cart,5665851,1.9,565986744,709a8031-97db-4757-a7d0-d8f7d8b376db
2023-02-01 00:19:38 UTC,view,5877490,2.38,371700894,6e3128a2-b78e-4316-8cf9-8e819796c13f
2023-02-01 00:19:39 UTC,view,5746011,34.92,550757696,d27b131e-84f4-410e-b2b0-7cdf877ebf68
2023-02-01 00:19:45 UTC,cart,5656119,4.44,565986744,709a8031-97db-4757-a7d0-d8f7d8b376db
2023-02-01 00:19:47 UTC,view,5778306,2.86,608306625,fe26c378-86d6-4b03-aa3d-702d2c012371
2023-02-01 00:19:48 UTC,view,5877603,1.27,566772217,45a5b5db-3813-4e78-bd92-3e789f47b5ff
2023-02-01 00:19:55 UTC,view,5803965,3.97,608824663,f70bd85c-47f6-4532-9e94-6be1d9906a8c
2023-02-01 00:20:06 UTC,view,5862745,5.24,608824661,bffe5aa8-c530-4f43-82eb-cc03e7d14a84
2023-02-01 00:20:07 UTC,view,5829707,3.16,608824710,a54dcb1f-fba1-4b7d-b0c3-1b896f6e5f78
2023-02-01 00:20:08 UTC,view,5724282,2.48,585409344,299e0df4-cce9-47db-a9be-46437fda3136
2023-02-01 00:20:09 UTC,view,6941,4.71,565925964,d01f9913-4804-4bdc-b0c6-04eefbcc0a87
2023-02-01 00:20:10 UTC,view,5917178,16.35,431941255,29d6c2ee-2d7a-4246-9615-8e27890501a8
2023-02-01 00:20:12 UTC,view,5765359,56.02,568346027,c9337447-e933-49f3-9158-e1eef8f2e872
2023-02-01 00:20:17 UTC,cart,5904542,2.48,558432692,0065215b-de9e-485d-82b7-969e62d691c8
2023-02-01 00:20:18 UTC,view,5859329,1.75,566772217,45a5b5db-3813-4e78-bd92-3e789f47b5ff
2023-02-01 00:20:32 UTC,cart,5724652,2.48,558432692,0065215b-de9e-485d-82b7-969e62d691c8
2023-02-01 00:20:32 UTC,view,5590822,194.44,599347732,def7efa5-6492-7c8f-1f2b-415103de3bc6
2023-02-01 00:20:37 UTC,cart,5812215,2.48,558432692,0065215b-de9e-485d-82b7-969e62d691c8
2023-02-01 00:20:40 UTC,view,5906118,1.27,566772217,45a5b5db-3813-4e78-bd92-3e789f47b5ff
2023-02-01 00:20:41 UTC,view,5909810,18.73,431941255,29d6c2ee-2d7a-4246-9615-8e27890501a8
2023-02-01 00:20:42 UTC,cart,5812216,2.48,558432692,0065215b-de9e-485d-82b7-969e62d691c8
2023-02-01 00:20:47 UTC,view,5837103,5.56,602335606,3412e650-1aaf-4db7-baec-39db232948b6
2023-02-01 00:20:50 UTC,view,5815038,9.71,608824794,e007635d-622c-48b9-a983-b181d8fac4e6
2023-02-01 00:20:52 UTC,view,5906118,1.27,566772217,45a5b5db-3813-4e78-bd92-3e789f47b5ff
2023-02-01 00:20:54 UTC,cart,5541652,8.37,524521174,714b3140-92a9-4cdd-8503-dff14af4b918
2023-02-01 00:20:56 UTC,view,5724633,2.48,585409344,299e0df4-cce9-47db-a9be-46437fda3136
2023-02-01 00:21:05 UTC,view,5776132,2.7,542895434,fec9ac74-577c-479e-9678-adaad3938fd2
2023-02-01 00:21:05 UTC,view,5853631,15.06,608824126,cdfc3d5a-27dd-43c6-a4ab-8d18ff797655
2023-02-01 00:21:08 UTC,view,3978,29.05,608824379,f980d4f3-7a0e-48ff-9d8b-805b9ab03aec
2023-02-01 00:21:13 UTC,view,5770053,2.81,608824844,98f56406-cbb8-46cd-9abf-a2571f75e4be
2023-02-01 00:21:20 UTC,view,5903136,4.75,602335606,3412e650-1aaf-4db7-baec-39db232948b6
2023-02-01 00:21:23 UTC,cart,5921847,4.87,606337408,4e790b6c-ed9f-5be6-a851-61dfb013fec3
2023-02-01 00:21:26 UTC,remove_from_cart,5921847,4.87,606337408,4e790b6c-ed9f-5be6-a851-61dfb013fec3
2023-02-01 00:21:30 UTC,cart,5774328,3.81,524521174,714b3140-92a9-4cdd-8503-dff14af4b918
2023-02-01 00:21:30 UTC,view,5875761,2.05,608824743,733e7209-58d5-4911-ac93-088d61d1865c
2023-02-01 00:21:31 UTC,view,5816178,5.24,608824875,52de8f06-07d0-4348-9c42-8ee4ec33feb1
2023-02-01 00:21:33 UTC,view,5736097,3.97,608824871,f6986ce6-a9a9-45e8-802b-59f85793e332
2023-02-01 00:21:42 UTC,view,5900465,4.76,605256911,39febaf3-a64b-4b1a-993c-ddd3d9f63f2b
2023-02-01 00:21:42 UTC,view,5814970,3.97,608824902,a7ecf042-b7ad-473b-9cc4-e6dba64ca4a9
2023-02-01 00:21:46 UTC,cart,5759382,4.44,524521174,714b3140-92a9-4cdd-8503-dff14af4b918
2023-02-01 00:21:52 UTC,cart,5794757,5.4,524521174,714b3140-92a9-4cdd-8503-dff14af4b918
2023-02-01 00:21:56 UTC,view,5879279,3.95,608824941,77b602ec-eb38-4697-b5c4-35f5ff906048
2023-02-01 00:22:05 UTC,view,5759279,1.11,608824875,57a972d9-c395-4bac-8d66-1e56a8b2899c
2023-02-01 00:22:11 UTC,cart,5724676,2.48,558432692,0065215b-de9e-485d-82b7-969e62d691c8
2023-02-01 00:22:13 UTC,view,5844300,16.67,431941255,29d6c2ee-2d7a-4246-9615-8e27890501a8
2023-02-01 00:22:13 UTC,view,5724586,2.48,585409344,299e0df4-cce9-47db-a9be-46437fda3136
2023-02-01 00:22:15 UTC,view,5870288,19.84,410027446,91540b56-76ce-400f-8cf0-4b97ccff6729
2023-02-01 00:22:20 UTC,cart,6978,5.13,524521174,714b3140-92a9-4cdd-8503-dff14af4b918
2023-02-01 00:22:26 UTC,cart,5809861,5.71,524521174,714b3140-92a9-4cdd-8503-dff14af4b918
2023-02-01 00:22:33 UTC,view,5739493,7.14,559641590,be741a76-14b7-456e-8aad-ed8717c57f4f
2023-02-01 00:22:39 UTC,cart,5724622,2.48,558432692,0065215b-de9e-485d-82b7-969e62d691c8
2023-02-01 00:22:40 UTC,view,5877528,95.24,417940384,db44cfff-882b-40d5-9c71-a799e6b881ee
2023-02-01 00:22:41 UTC,view,5888555,3.97,608825044,59dde329-ea5d-43ca-b1f4-bfa9846ad25c
2023-02-01 00:22:43 UTC,view,5734485,3.97,608825023,7ba4f350-3a89-419c-89e7-9253d24a6f15
2023-02-01 00:22:44 UTC,view,5883091,7.62,559641590,be741a76-14b7-456e-8aad-ed8717c57f4f
2023-02-01 00:22:48 UTC,cart,6942,4.71,524521174,714b3140-92a9-4cdd-8503-dff14af4b918
2023-02-01 00:22:51 UTC,view,5896171,3.97,608825072,263051c4-20b4-4feb-b822-e4ca74eb7e9c
2023-02-01 00:23:00 UTC,view,5869107,34.6,410027446,91540b56-76ce-400f-8cf0-4b97ccff6729
2023-02-01 00:23:01 UTC,view,5899926,3.92,608825109,b5c3d813-ef9b-41ec-acd1-5cab0cf3a6d7
2023-02-01 00:23:04 UTC,view,5724303,2.48,585409344,299e0df4-cce9-47db-a9be-46437fda3136
2023-02-01 00:23:06 UTC,cart,6977,5.13,524521174,714b3140-92a9-4cdd-8503-dff14af4b918
2023-02-01 00:23:06 UTC,view,5917178,16.35,431941255,29d6c2ee-2d7a-4246-9615-8e27890501a8
2023-02-01 00:23:12 UTC,cart,5724633,2.48,558432692,0065215b-de9e-485d-82b7-969e62d691c8
2023-02-01 00:23:17 UTC,cart,5814541,5.95,524521174,714b3140-92a9-4cdd-8503-dff14af4b918
2023-02-01 00:23:24 UTC,view,5726405,5.56,608825140,1dcaeada-fe18-43a9-9262-b75cb58ac389
2023-02-01 00:23:25 UTC,view,5866399,9.52,608825148,47e4df37-53d3-4222-ac0f-ec527826b538
2023-02-01 00:23:29 UTC,view,5584836,4.95,559641590,be741a76-14b7-456e-8aad-ed8717c57f4f
2023-02-01 00:23:29 UTC,view,5663275,12.83,608825183,bd95b254-9eda-4c32-928c-42cdb4a06054
2023-02-01 00:23:35 UTC,view,5705033,2.78,585409344,299e0df4-cce9-47db-a9be-46437fda3136
2023-02-01 00:23:38 UTC,view,5841036,22.22,410027446,91540b56-76ce-400f-8cf0-4b97ccff6729
2023-02-01 00:23:40 UTC,cart,5812053,2.48,558432692,0065215b-de9e-485d-82b7-969e62d691c8
2023-02-01 00:23:47 UTC,cart,5812052,2.48,558432692,0065215b-de9e-485d-82b7-969e62d691c8
2023-02-01 00:23:47 UTC,view,5823970,26.83,410027446,91540b56-76ce-400f-8cf0-4b97ccff6729
2023-02-01 00:23:55 UTC,view,5711120,6.03,608825093,0ac7872a-9695-452c-abc1-fef4c6193e71
2023-02-01 00:23:59 UTC,cart,5724305,2.48,558432692,0065215b-de9e-485d-82b7-969e62d691c8
2023-02-01 00:23:59 UTC,view,5687151,1.9,466169644,689b0b0e-e11d-4974-ac13-75e8afb6ad17
2023-02-01 00:24:02 UTC,view,5645755,1.59,566772217,45a5b5db-3813-4e78-bd92-3e789f47b5ff
2023-02-01 00:24:08 UTC,view,5683588,3.0,608825233,9220648e-cb3e-4b4f-a6da-4ea874138801
2023-02-01 00:24:24 UTC,view,5909810,18.73,431941255,29d6c2ee-2d7a-4246-9615-8e27890501a8
2023-02-01 00:24:26 UTC,view,5827488,6.83,608825300,c87c6166-f3ac-4047-b07f-50c2ec6ce6b4
2023-02-01 00:24:27 UTC,view,5724667,2.48,585409344,299e0df4-cce9-47db-a9be-46437fda3136
2023-02-01 00:24:28 UTC,view,5889621,7.94,379669931,a331f716-c87b-4175-a99f-27e9c158488b
2023-02-01 00:24:34 UTC,cart,5909810,18.73,431941255,29d6c2ee-2d7a-4246-9615-8e27890501a8
